PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
57.066	0.00074487	0.000321766	0.000156674	8.51442E-05	0.000137678
57.0704	7.32E-02	0.00896396	0.0103423	0.00257266	0.00741246
58.0055	0.000241284	1.88668E-10	0.00202409	0.00276246	0.00215532
58.0374	0.000100381	0.000319173	0.000517444	0.000448443	0.000191728
58.0419	0.00116324	0.00378778	0.00176551	0.00391877	0.00222364
58.0657	0.00231259	1.24113E-09	0.00102921	0.00363243	0.00104808
58.0738	0.00321809	1.31259E-05	0.000453171	0.000173405	0.000335166
58.0783	0.00092065	9.99389E-06	6.51263E-07	0.000270448	5.63563E-05
58.9687	2.81413E-05	9.19976E-11	3.97289E-06	1.16676E-05	3.35599E-05
59.0133	0	0.000404074	0.00178634	2.05E-03	0.00159479
59.0452	3.88578E-05	0.000117127	5.75271E-05	0.000128482	7.20782E-05
59.0497	0.000956592	0.00249103	0.000655022	0.00248957	0.000779432
59.0735	0.000173057	0	0.000177831	0.000503263	0.000240226
59.0816	4.48591E-05	0	0	1.57125E-05	7.3218E-06
59.9765	2.94633E-05	7.48213E-12	0	4.33633E-05	0.000119496
60.0211	0.00493185	0.00654195	0.022452	0.0086293	0.0047055
60.053	3.34317E-05	6.00086E-05	2.21552E-05	8.37477E-05	2.66656E-05
60.0575	0.00028233	5.56848E-05	2.71E-04	6.26E-04	0.00006459
61.0078	3.39E-04	0.000638874	0.000745793	0.000398212	0.000616346
61.0289	0.000940358	1.20E-03	3.06E-03	2.36E-03	1.08E-03
61.0609	1.02E-05	0	9.33946E-06	2.12894E-05	1.72948E-06
62.0112	1.73325E-05	0.000049927	3.97E-05	0.000019722	0.000032396
62.0157	0.0010025	0.00245756	0.00217177	0.00111465	0.00149786
62.0368	0.000135662	1.12667E-11	0.000272675	0.000334242	0.000150187
63.019	5.30916E-05	0.000147731	0.000116711	5.79538E-05	8.11559E-05
63.0235	0.0027497	0.00616425	0.00517002	0.00269181	0.00334805
64.0268	0.000146172	0.000368784	0.000278157	0.000140581	0.00017971
64.0313	0.00063619	0.00447019	0.00165961	0.000674987	0.000549303
65.0027	6.56924E-06	6.80858E-05	7.57035E-05	0.000693514	0.000126532
65.0347	4.03667E-05	0.000145034	9.40452E-05	4.95239E-05	3.70202E-05
65.0391	0.00486703	0.0105605	0.00621157	0.00332693	0.00395331
66.0061	1.37605E-06	4.97941E-06	3.61038E-06	2.81226E-05	6.6973E-06
66.0106	2.97168E-05	0.00183218	8.64E-04	0.000556703	0.000621276
66.0425	0.000263225	0.000570359	0.000336041	0.000179999	0.000213859
66.047	0.00221035	0.00492869	0.00287385	0.00125008	0.00189857
67.0139	4.94524E-06	2.39109E-05	0.000040263	3.22444E-05	2.99985E-05
