PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	OOA1	OOA2
19/06/2012 14:28	19/06/2012 14:47	0.447855309	6.728121	4.371703691
19/06/2012 14:47	19/06/2012 15:06	0.336526905	7.187279348	4.202591525
19/06/2012 15:06	19/06/2012 15:24	0.309544016	6.197437423	4.598280783
19/06/2012 15:24	19/06/2012 15:43	0.16030911	6.935387426	4.020893687
19/06/2012 15:43	19/06/2012 16:02	0.154403266	7.005282094	4.182091974
19/06/2012 16:02	19/06/2012 16:20	0.165070771	6.714524684	4.623597878
19/06/2012 16:20	19/06/2012 16:39	0.206535584	7.760386068	2.91358057
19/06/2012 16:39	19/06/2012 17:16	0.27028204	5.987422721	4.49493035
19/06/2012 17:16	19/06/2012 17:35	0.505037465	5.349769373	4.434895384
19/06/2012 17:35	19/06/2012 17:54	0.530273805	5.012600531	4.799676775
19/06/2012 17:54	19/06/2012 18:12	0.804931168	5.000833877	5.298226066
19/06/2012 18:12	19/06/2012 18:31	0.658243818	4.992906005	4.117568621
19/06/2012 18:31	19/06/2012 19:46	0.627538117	3.259827741	3.588260808
19/06/2012 19:46	19/06/2012 20:04	0.711019401	2.327162017	4.680707471
19/06/2012 20:04	19/06/2012 20:23	0.735726611	2.609174281	4.369610219
19/06/2012 20:23	19/06/2012 20:42	0.757416006	2.640080861	4.673152022
19/06/2012 20:42	19/06/2012 21:00	1.086421755	2.807158419	4.421777604
19/06/2012 21:00	19/06/2012 21:19	1.365254478	2.8737966	5.072188922
19/06/2012 21:19	19/06/2012 21:38	1.525916943	3.892621239	4.823075152
19/06/2012 21:38	19/06/2012 21:56	2.589109339	4.386341864	4.685437686
19/06/2012 21:56	19/06/2012 22:15	1.942788416	4.576154731	5.148241297
19/06/2012 22:15	19/06/2012 22:34	2.14516961	4.453552101	5.126076067
19/06/2012 22:34	19/06/2012 22:52	1.540901587	5.102400716	4.358155475
19/06/2012 22:52	19/06/2012 23:09	0.509798971	4.560254716	4.231975202
19/06/2012 23:09	19/06/2012 23:28	0.538640585	5.488676535	3.567369547
19/06/2012 23:28	19/06/2012 23:46	0.531617959	5.635676913	3.57742735
19/06/2012 23:46	20/06/2012 0:05	0.29886225	5.290493084	3.918662443
20/06/2012 0:05	20/06/2012 0:24	0.420212297	6.1359886	3.292394659
20/06/2012 0:24	20/06/2012 0:42	0.343332138	6.390793369	3.145087826
20/06/2012 0:42	20/06/2012 1:01	0.270913306	5.40901139	3.965391526
20/06/2012 1:01	20/06/2012 1:20	0.48691179	5.667388544	3.383959666
20/06/2012 1:20	20/06/2012 1:38	0.491316324	5.344211288	3.667366228
20/06/2012 1:38	20/06/2012 1:57	0.291057254	4.991989877	4.127266202
20/06/2012 1:57	20/06/2012 2:16	0.486569264	4.975923867	3.711586868
20/06/2012 2:16	20/06/2012 2:34	0.170685073	4.263077061	4.529826977
20/06/2012 2:34	20/06/2012 2:53	0.211925217	3.609981652	5.153243132
20/06/2012 2:53	20/06/2012 3:12	0.132514433	5.092987799	3.72731223
20/06/2012 3:12	20/06/2012 3:30	0.217470344	4.632921915	3.97062863
20/06/2012 3:30	20/06/2012 3:49	0.196631257	4.284832959	4.067273562
20/06/2012 3:49	20/06/2012 4:08	0.279196811	3.852691791	4.506415842
20/06/2012 4:08	20/06/2012 4:26	0.382020514	4.831299989	3.436708385
20/06/2012 4:26	20/06/2012 4:45	0.278944361	4.372001809	3.860391607
20/06/2012 4:45	20/06/2012 5:04	0.401453547	4.021935619	4.533295278
20/06/2012 5:04	20/06/2012 5:22	0.352942336	3.480456672	4.611196103
20/06/2012 5:22	20/06/2012 5:41	0.421075034	4.536325294	3.790564117
20/06/2012 5:41	20/06/2012 6:00	0.561315927	3.640743994	4.001526523
20/06/2012 6:00	20/06/2012 6:18	0.466575404	3.861996245	4.203701684
20/06/2012 6:18	20/06/2012 6:37	0.654784695	3.509003419	3.993780775
20/06/2012 6:37	20/06/2012 6:56	0.624764974	3.411802388	4.18126375
20/06/2012 6:56	20/06/2012 7:14	0.509625358	3.131413053	4.451108255
20/06/2012 7:14	20/06/2012 7:33	0.676681371	3.539656295	3.809202334
20/06/2012 7:33	20/06/2012 7:52	0.738694603	4.045148078	3.549679542
