PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
23/10/2012 9:38	23/10/2012 9:43	0.152807973	0.199080142	1.650251185	1.526325708	3.506942823
23/10/2012 9:43	23/10/2012 9:47	0.138744493	0.11352042	1.494059467	1.616521793	3.581233422
23/10/2012 9:47	23/10/2012 9:52	0.060298397	0.098740569	1.454309997	1.582799058	3.397472635
23/10/2012 9:52	23/10/2012 9:57	0.104158119	0.105316634	1.406763573	1.501356505	3.326927617
23/10/2012 9:57	23/10/2012 10:53	0.087481113	0.100281201	1.298661145	1.099039578	2.694340296
23/10/2012 10:53	23/10/2012 10:57	0.042316371	0.140470042	1.276903791	1.115168091	2.688091168
23/10/2012 10:57	23/10/2012 11:02	0.05331044	0.113291411	1.382498863	1.064905287	2.672003524
23/10/2012 11:02	23/10/2012 11:07	0.010815567	0.108025445	1.136412557	1.075369605	2.542063935
23/10/2012 11:07	23/10/2012 11:11	0	0.080790356	1.122242612	0.672280703	2.495065007
23/10/2012 11:11	23/10/2012 11:16	0	0.083628754	1.173108197	0.868939996	2.405089466
23/10/2012 11:16	23/10/2012 11:21	0	0.113766317	1.137387832	0.911178127	2.409934764
23/10/2012 11:21	23/10/2012 11:25	0	0.083576889	1.061673333	0.664202222	2.212748889
23/10/2012 11:25	23/10/2012 11:30	0	0.146409778	1.059497778	0.640291111	2.241311111
23/10/2012 11:30	23/10/2012 11:35	0	0.081100889	0.968588889	0.657464444	2.157053333
23/10/2012 11:35	23/10/2012 11:39	0	0.125554444	0.878368889	0.527784444	1.935586667
23/10/2012 11:39	23/10/2012 11:44	0	0.051277111	0.856202222	0.450691111	1.862644444
23/10/2012 11:44	23/10/2012 11:49	0.039817111	0.194418444	1.107117778	0.282984444	2.194302222
23/10/2012 11:49	23/10/2012 11:53	0	0.106514889	0.8371	0.476951111	1.74222
23/10/2012 11:53	23/10/2012 11:58	0	0.115541111	0.870817778	0.488495556	1.828326667
23/10/2012 11:58	23/10/2012 12:03	0.010603356	0.085597333	0.824573333	0.473182222	1.853786667
23/10/2012 12:03	23/10/2012 12:07	0.043013556	0.063764	0.823862222	0.542588889	1.852722222
23/10/2012 12:07	23/10/2012 12:12	0	0.099358	0.780906667	0.513026667	1.943844444
23/10/2012 12:12	23/10/2012 12:17	0	0.111687111	0.702482222	0.497026667	2.007973333
23/10/2012 12:17	23/10/2012 12:21	0	0.145576667	0.744593333	0.497913333	2.019206667
23/10/2012 12:21	23/10/2012 12:26	0	0.135683111	0.819222222	0.496184444	1.988128889
23/10/2012 12:26	23/10/2012 12:31	0.006190644	0.146594667	0.813091111	0.557613333	1.989526667
23/10/2012 12:31	23/10/2012 12:35	0.061692444	0.188767111	0.889806667	0.440342222	2.09186
23/10/2012 12:35	23/10/2012 12:40	0.025880222	0.158183778	0.953151111	0.536184444	1.932922222
23/10/2012 12:40	23/10/2012 12:45	0.092150222	0.212811556	0.863264444	0.469682222	1.961024444
23/10/2012 12:45	23/10/2012 12:49	0.048036222	0.122669333	0.916682222	0.512184444	1.892566667
23/10/2012 12:49	23/10/2012 12:54	0	0.269024222	1.108382222	0.781804444	2.082646667
23/10/2012 12:54	23/10/2012 12:59	0.030626889	0.142191778	1.044526667	0.52466	2.001291111
23/10/2012 12:59	23/10/2012 13:03	0	0.090576222	0.966944444	0.496826667	1.881624444
23/10/2012 13:03	23/10/2012 13:08	0.057449333	0.080943111	0.866242222	0.484993333	1.883842222
23/10/2012 13:08	23/10/2012 13:13	0.089873778	0.070801111	0.900313333	0.410448889	1.923444444
23/10/2012 13:13	23/10/2012 13:17	0.001991482	0.098662222	1.018028889	0.610508889	1.931991111
23/10/2012 13:17	23/10/2012 13:22	0	0.128081556	0.912951111	0.526211111	1.982713333
23/10/2012 13:22	23/10/2012 13:27	0.012483733	0.075148667	0.922346667	0.634331111	2.026242222
