Time (UTC)	Time (Local)	Chl	NH4	NO3	Org	SO4
08/04/2016 19:42	08/04/2016 21:42	0.0248238	0.0535318	0.0507302	0.172454	0.206024
08/04/2016 19:47	08/04/2016 21:47	0.0347421	0.0757236	0.0511908	0.243604	0.283165
08/04/2016 19:52	08/04/2016 21:52	0.0345684	0.0643886	0.0467943	0.20599	0.241826
08/04/2016 19:57	08/04/2016 21:57	0.0550727	0.0666734	0.104292	0.296758	0.28873
08/04/2016 20:02	08/04/2016 22:02	0.0176064	0.0615617	0.0460855	0.179832	0.221603
08/04/2016 20:07	08/04/2016 22:07	0.0317282	0.10064	0.0440026	0.287343	0.357039
08/04/2016 20:12	08/04/2016 22:12	0.0254953	0.0603859	0.0463453	0.245236	0.259759
08/04/2016 20:17	08/04/2016 22:17	0.0213113	0.065293	0.0234282	0.199674	0.245593
08/04/2016 20:27	08/04/2016 22:27	0.0524483	0.0836458	0.053506	0.289689	0.321375
08/04/2016 20:32	08/04/2016 22:32	0.0434382	0.0707924	0.0448632	0.233844	0.271914
08/04/2016 20:37	08/04/2016 22:37	0.0259308	0.0910016	0.0856057	0.250496	0.324384
08/04/2016 20:42	08/04/2016 22:42	0.041281	0.0738197	0.0316651	0.211566	0.232986
08/04/2016 20:47	08/04/2016 22:47	0.0524874	0.0622664	0.040163	0.205774	0.267955
08/04/2016 20:52	08/04/2016 22:52	0.0479341	0.052019	0.0411841	0.175452	0.21948
08/04/2016 20:57	08/04/2016 22:57	0.0538227	0.090482	0.0630368	0.359773	0.351407
08/04/2016 21:01	08/04/2016 23:01	0.0535403	0.0936603	0.06335	0.359901	0.373501
08/04/2016 21:06	08/04/2016 23:06	0.0244516	0.0494291	0.0506276	0.195115	0.185364
08/04/2016 21:11	08/04/2016 23:11	0.037251	0.0629377	0.0470447	0.219677	0.238848
08/04/2016 21:16	08/04/2016 23:16	0.0436214	0.0638126	0.0421593	0.236758	0.233606
08/04/2016 21:21	08/04/2016 23:21	0.0469424	0.0589747	0.0445288	0.194359	0.230664
08/04/2016 21:26	08/04/2016 23:26	0.0244783	0.049012	0.0258055	0.18506	0.176542
08/04/2016 21:31	08/04/2016 23:31	0.069995	0.0677198	0.0822613	0.276477	0.266356
08/04/2016 21:36	08/04/2016 23:36	0.0321706	0.0468874	0.0377535	0.190867	0.19278
08/04/2016 21:41	08/04/2016 23:41	0.0539529	0.0917498	0.05679	0.3398	0.344186
08/04/2016 21:46	08/04/2016 23:46	0.0239523	0.0496196	0.0500765	0.195124	0.220082
08/04/2016 21:51	08/04/2016 23:51	0.0374779	0.0781931	0.03715	0.29416	0.290867
08/04/2016 21:56	08/04/2016 23:56	0.0590387	0.0550117	0.0383449	0.155207	0.206951
08/04/2016 22:01	09/04/2016 0:01	0.0189244	0.0461689	0.0324819	0.172961	0.177928
08/04/2016 22:06	09/04/2016 0:06	0.0561199	0.0618478	0.029723	0.174863	0.22727
08/04/2016 22:11	09/04/2016 0:11	0.0368718	0.0746562	0.0458482	0.188505	0.260552
08/04/2016 22:16	09/04/2016 0:16	0.051245	0.058343	0.0406638	0.150611	0.201349
08/04/2016 22:21	09/04/2016 0:21	0.0614665	0.0858848	0.061303	0.285365	0.318976
08/04/2016 22:26	09/04/2016 0:26	0.0560952	0.0632395	0.0386335	0.246018	0.235358
08/04/2016 22:31	09/04/2016 0:31	0.076915	0.0878128	0.067388	0.295543	0.358098
08/04/2016 22:36	09/04/2016 0:36	0.0205533	0.0778676	0.0446665	0.15664	0.284054
08/04/2016 22:41	09/04/2016 0:41	0.0727047	0.0639936	0.0352042	0.253669	0.237475
08/04/2016 22:46	09/04/2016 0:46	0.0580204	0.0919252	0.0633338	0.307846	0.342597
08/04/2016 22:51	09/04/2016 0:51	0.041907	0.0999982	0.0791691	0.227648	0.335389
08/04/2016 22:56	09/04/2016 0:56	0.0313633	0.0550892	0.034579	0.222892	0.182181
08/04/2016 23:01	09/04/2016 1:01	0.0288469	0.0559718	0.0471197	0.176231	0.192567
08/04/2016 23:06	09/04/2016 1:06	0.0372139	0.0820509	0.0502733	0.268221	0.262677
08/04/2016 23:11	09/04/2016 1:11	-0.00243855	0.0804936	0.0531904	0.315148	0.266461
08/04/2016 23:16	09/04/2016 1:16	0.0613881	0.0933512	0.0688748	0.34614	0.303446
08/04/2016 23:21	09/04/2016 1:21	0.0732785	0.117345	0.100385	0.421655	0.375976
08/04/2016 23:26	09/04/2016 1:26	0.0330874	0.109898	0.0834643	0.430956	0.346163
08/04/2016 23:31	09/04/2016 1:31	0.0470536	0.0730935	0.0733966	0.448414	0.209052
08/04/2016 23:36	09/04/2016 1:36	0.0640097	0.111772	0.0998045	0.403721	0.344137
08/04/2016 23:41	09/04/2016 1:41	0.0932843	0.0785784	0.0675222	0.289115	0.193857
08/04/2016 23:46	09/04/2016 1:46	0.166098	0.168999	0.126501	0.587478	0.313125
08/04/2016 23:51	09/04/2016 1:51	0.142621	0.147058	0.105754	0.54354	0.268281
08/04/2016 23:56	09/04/2016 1:56	0.0691827	0.115204	0.0900837	0.486072	0.313166
09/04/2016 0:01	09/04/2016 2:01	0.0374246	0.0771993	0.0781633	0.409593	0.214774
09/04/2016 0:06	09/04/2016 2:06	0.047562	0.0679991	0.0851917	0.400076	0.200271
09/04/2016 0:11	09/04/2016 2:11	0.0144909	0.0656025	0.0724159	0.32014	0.193054
09/04/2016 0:16	09/04/2016 2:16	0.0345676	0.0670871	0.0570467	0.303397	0.224069
09/04/2016 0:21	09/04/2016 2:21	0.0713328	0.0899933	0.0915827	0.374094	0.24199
09/04/2016 0:26	09/04/2016 2:26	0.0801696	0.111322	0.142259	0.635683	0.329527
09/04/2016 0:31	09/04/2016 2:31	0.0313396	0.0637307	0.0766185	0.353871	0.182655
09/04/2016 0:36	09/04/2016 2:36	0.0438607	0.0763656	0.0870908	0.396101	0.208224
09/04/2016 0:41	09/04/2016 2:41	0.0245925	0.0689007	0.0594404	0.405547	0.194502
09/04/2016 0:46	09/04/2016 2:46	0.00420291	0.0759319	0.0769122	0.394573	0.209418
09/04/2016 0:51	09/04/2016 2:51	0.0431477	0.0843127	0.0818295	0.4144	0.22973
09/04/2016 0:56	09/04/2016 2:56	0.110506	0.0875668	0.106174	0.520546	0.253942
09/04/2016 1:01	09/04/2016 3:01	0.0580572	0.117059	0.150892	0.7691	0.290535
09/04/2016 1:06	09/04/2016 3:06	0.0551784	0.115166	0.132769	0.620226	0.323099
09/04/2016 1:11	09/04/2016 3:11	0.0428692	0.115359	0.125746	0.567214	0.325466
09/04/2016 1:16	09/04/2016 3:16	0.0296386	0.0716033	0.0976877	0.44873	0.18761
09/04/2016 1:21	09/04/2016 3:21	0.0625396	0.0921271	0.114166	0.599223	0.258464
09/04/2016 1:26	09/04/2016 3:26	0.0768208	0.0922717	0.142575	0.579183	0.255351
09/04/2016 1:31	09/04/2016 3:31	0.0815001	0.0915922	0.13723	0.646481	0.292352
09/04/2016 1:36	09/04/2016 3:36	0.0450742	0.119034	0.121543	0.586698	0.328461
09/04/2016 1:41	09/04/2016 3:41	0.0438085	0.087265	0.165107	0.556401	0.222951
09/04/2016 1:46	09/04/2016 3:46	0.0497689	0.0672545	0.0979209	0.463003	0.200651
09/04/2016 1:51	09/04/2016 3:51	0.0413851	0.0737487	0.106432	0.401339	0.224264
09/04/2016 1:56	09/04/2016 3:56	0.0709404	0.119123	0.133994	0.616529	0.30098
09/04/2016 2:01	09/04/2016 4:01	0.0419117	0.0776786	0.100727	0.38702	0.23631
09/04/2016 2:06	09/04/2016 4:06	0.0459591	0.0697129	0.0972316	0.381449	0.202163
09/04/2016 2:11	09/04/2016 4:11	0.0347695	0.0674855	0.0798938	0.338094	0.207559
09/04/2016 2:16	09/04/2016 4:16	0.0301041	0.077755	0.0896062	0.485297	0.248454
09/04/2016 2:21	09/04/2016 4:21	0.0251065	0.0630203	0.103758	0.427276	0.230939
09/04/2016 2:26	09/04/2016 4:26	0.034789	0.0914208	0.154727	0.644914	0.297185
09/04/2016 2:31	09/04/2016 4:31	0.0660491	0.112563	0.151582	0.861419	0.332346
09/04/2016 2:36	09/04/2016 4:36	-0.000212713	0.0664422	0.104647	0.4868	0.210959
09/04/2016 2:41	09/04/2016 4:41	0.0405639	0.0882101	0.120117	0.674073	0.240044
09/04/2016 2:46	09/04/2016 4:46	0.0753844	0.0909225	0.136957	0.645402	0.265614
09/04/2016 2:51	09/04/2016 4:51	0.0429677	0.12117	0.1456	0.826586	0.360713
09/04/2016 2:56	09/04/2016 4:56	0.0539913	0.118514	0.191736	0.95461	0.322821
09/04/2016 3:01	09/04/2016 5:01	0.0681138	0.0844026	0.103436	0.608949	0.273868
09/04/2016 3:06	09/04/2016 5:06	0.0455421	0.106187	0.121204	0.745735	0.312946
