PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
175.149	0.00043796	0.000105709	0.000147093	4.36977E-05	1.05312E-05
176.011	3.07761E-06	2.77035E-05	1.35325E-05	0.00004245	1.93472E-05
176.047	0.000021899	0.000118966	0.000268087	8.17331E-05	6.27883E-05
176.08	7.69416E-05	0.000186171	0.000530467	0.000089806	0.000059568
176.156	0.00015261	5.48962E-05	9.59588E-05	3.41049E-05	9.41508E-06
177.019	2.38449E-05	0.00010231	0.000155741	0.000118768	7.20173E-05
177.07	7.00566E-07	0.00020279	0.000582593	0.000119192	6.97304E-05
177.092	0.000160219	0.000113099	0.000217544	7.14404E-05	4.07673E-05
178.027	0	6.09267E-05	0.000067216	8.49778E-05	4.64997E-05
178.078	0.000368817	0.000379622	0.00106312	0.000216463	5.15558E-05
179.034	0	0.000113589	0.000205812	0.000120104	7.48056E-05
179.086	0.00041156	0.000347492	0.000889503	0.000205824	7.68624E-05
180.094	0.000211731	0.000253238	0.000695648	0.000150289	5.23536E-05
181.087	0	0.000402495	0.00138196	0.000204934	2.83672E-05
185.097	2.84334E-05	0.000220111	0.000558988	0.000127965	9.97264E-05
185.133	0.000353199	8.07475E-05	0.000117968	2.52565E-05	0
187.055	9.16203E-05	0.000235381	0.000610795	0.00016061	9.53314E-05
187.149	0.00033868	0.000131788	0.000273049	7.29249E-05	1.60817E-05
188.063	0.000068506	0.000183197	0.00044956	0.000135034	8.60341E-05
189.001	9.86953E-06	2.11012E-05	4.65758E-05	1.53265E-05	0
189.019	0	3.76084E-05	8.5862E-07	6.48704E-05	3.43266E-05
189.07	0.000274918	0.000378643	0.00108133	0.000213777	7.35365E-05
189.164	0.000353322	0.000115714	0.000228791	6.15755E-05	3.45477E-06
190.009	1.54746E-06	0.000047177	5.89588E-05	5.85124E-05	4.31587E-05
190.078	0.000143789	0.000228204	0.000627525	0.000143658	5.70801E-05
190.172	0.000116126	4.39179E-05	9.26306E-05	2.53463E-05	1.16716E-06
191.002	9.93268E-06	7.21544E-05	8.44501E-05	8.93111E-05	4.78782E-05
191.086	0.000252265	0.00028607	0.000741324	0.000186151	7.22343E-05
192.079	0	0.000119141	0.000255221	0.00010036	6.68035E-05
194.073	1.26215E-05	0.000145451	0.00040314	9.30012E-05	4.67237E-05
194.109	0.000148831	0.000101414	0.000313018	1.55153E-05	2.8742E-06
195.081	7.8143E-06	0.000175169	0.000501072	0.000124494	4.74693E-05
195.117	0.000273891	0.00012036	0.000305846	3.34348E-05	7.51573E-06
196.089	2.47362E-05	0.000150735	0.000447422	9.40687E-05	3.64779E-05
196.125	0.000111094	3.91465E-05	8.00562E-05	1.13304E-05	0
196.219	3.65213E-05	1.33746E-05	2.35856E-05	6.9816E-06	1.93814E-06
197.097	0	0.000185737	0.000558905	0.00011693	4.59651E-05
198.105	3.54195E-05	0.000137524	0.000419338	7.82409E-05	2.86245E-05
199.055	1.55993E-05	0.000140397	0.000366279	0.000104298	5.62311E-05
199.112	0.00016218	0.000133718	0.000352361	7.61202E-05	2.13488E-05
200.063	5.77909E-05	0.00017212	0.000483173	0.000104976	5.18281E-05
200.12	2.23087E-05	6.68112E-05	0.000205634	3.04226E-05	0.000011119
200.156	6.54409E-05	1.76665E-05	0.000014727	1.24247E-05	0
202.078	0.000196056	0.000291557	0.000874699	0.00015663	2.56302E-05
202.136	4.79121E-05	6.61091E-05	0.000206958	2.38455E-05	0
202.172	5.22921E-05	1.37931E-05	6.12567E-06	1.14901E-05	0
204.094	0.000106345	0.000156074	0.000427502	9.62954E-05	3.63031E-05
204.188	7.90774E-05	2.60887E-05	4.91396E-05	1.45574E-05	0
206.109	0.000113574	0.000129552	0.000350388	7.98315E-05	2.42868E-05
