PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
156.094	0.00055694	0.000576556	0.000280497	3.77021E-05	6.70192E-05
157.014	0	3.03299E-05	0	0	5.02857E-05
157.05	2.58524E-05	3.54181E-05	0	4.30862E-05	9.55865E-05
157.065	0	0.000563387	1.48209E-06	3.65199E-05	0
157.102	0.00115499	0.000923498	0.000448238	0.000145936	8.37106E-05
158.037	0	7.42391E-05	0	9.63991E-05	7.31355E-05
158.073	0.000205299	0.000691911	0.000261327	0.000170698	0
158.109	0.00054871	0.000436726	0.000200968	2.91722E-05	4.74004E-05
159.045	0	5.31342E-05	0	0.000147385	5.38855E-05
159.066	0	0.000828147	0.000193268	6.95863E-05	0
159.102	0	0.000108248	0	0.000012658	4.33916E-05
159.117	0.00130041	0.000687814	0.000199705	0	2.31545E-05
160.016	0	1.52485E-05	0	1.30857E-05	3.13674E-05
160.052	4.45057E-06	0.000539305	8.13337E-05	0.000217105	0
160.089	0	0.000521677	0.00021686	7.94083E-05	7.84661E-06
160.125	0.000309952	0.000214683	9.16057E-05	9.84347E-06	1.85996E-05
161.024	3.07075E-05	5.72086E-06	6.01601E-06	0.000095243	9.10005E-05
161.06	7.18233E-05	0.00110382	0.000105938	0.000244066	1.67565E-05
161.097	4.04027E-05	0.000531855	0.000322066	8.55949E-05	6.48113E-05
161.133	0.00103284	0.000449612	0.00020174	4.22748E-05	9.43217E-05
162.032	0	5.69116E-05	4.02628E-06	1.79212E-05	0.000157103
162.047	2.85192E-05	2.82872E-05	0	4.49329E-06	0
162.068	0	0.000710647	4.81365E-05	0	4.96473E-05
162.105	6.07788E-05	0.000252145	0.000118722	3.34721E-05	0
162.141	0.000280907	0.000132571	3.55324E-05	0	1.23339E-05
163.024	0	0.000014727	0.000098588	0.000123222	9.88967E-05
163.055	0	0.00109144	0	0	1.58696E-06
163.076	0.000139779	0.000662514	0.000327129	5.68404E-05	0.000052712
163.112	0	4.96256E-05	3.64899E-05	0.000014063	7.18226E-05
163.149	0.000695601	0.000241	0.000082224	0	9.59422E-05
164.011	4.04656E-06	8.38195E-06	0	6.62327E-05	6.53134E-05
164.047	0	0	0	5.19899E-06	3.74276E-07
164.063	0.000084415	0.00109818	0.000223788	0.000228956	0
164.12	0	0.000293392	0.000150024	2.22941E-05	0.000020169
165.019	0	0.000062174	1.46585E-05	0.000168779	0.000139775
165.07	0.000465442	0.00205089	0.000266139	0.000379439	0
165.128	0	0	2.57827E-05	2.30365E-06	1.24111E-05
165.164	0.000332434	0.000103254	0	0	2.16402E-05
166.027	5.27266E-05	9.92049E-05	0	0.000194081	4.23965E-05
