PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
16/02/2014 6:28	16/02/2014 6:32	0.33886445	2.054221732	0.259037747	1.610247056	1.955637052
16/02/2014 6:32	16/02/2014 6:37	0.431340047	1.786321312	0.434014669	2.553765269	1.093263782
16/02/2014 6:37	16/02/2014 6:42	0.348480348	2.0326941	0.282480734	1.732389651	1.512824744
16/02/2014 6:42	16/02/2014 6:46	0.392226821	2.073426333	0.362855008	2.268915764	1.174062951
16/02/2014 6:46	16/02/2014 6:51	0.368846415	2.186747399	0.239226049	2.241634698	1.606880321
16/02/2014 6:51	16/02/2014 6:56	0.345686504	2.128430572	0.141483419	2.295074254	1.587547641
16/02/2014 6:56	16/02/2014 7:00	0.310680702	2.325918394	0.253479973	2.452282563	1.31402564
16/02/2014 7:00	16/02/2014 7:05	0.27902375	2.222808875	0.375300846	2.210265575	1.062740457
16/02/2014 7:05	16/02/2014 7:10	0.266745239	2.138405381	0.35767998	2.439087702	1.230402621
16/02/2014 7:10	16/02/2014 7:14	0.414308646	1.738430189	0.163133078	3.302589571	1.025609003
16/02/2014 7:14	16/02/2014 7:19	0.277359327	2.327220604	0.384989853	2.445998454	1.374403028
16/02/2014 7:19	16/02/2014 7:24	0.372519063	2.136974421	0.429113577	3.290811396	0.773904304
16/02/2014 7:24	16/02/2014 7:28	0.297504571	2.68314848	0.124112586	2.48717808	1.646672476
16/02/2014 7:28	16/02/2014 7:33	0.42051991	2.160404662	0.263311034	3.316153543	1.415233246
16/02/2014 7:33	16/02/2014 7:38	0.329638424	2.49056232	0.083130231	2.618703582	1.600685428
16/02/2014 7:38	16/02/2014 7:42	0.29859376	2.174727329	0.252389199	2.701150649	1.480906888
16/02/2014 7:42	16/02/2014 7:47	0.303485192	2.313024448	0.243736446	2.424028058	1.75792025
16/02/2014 7:47	16/02/2014 7:52	0.253671509	2.609658781	0.24568126	2.618147562	1.802636714
16/02/2014 7:52	16/02/2014 7:56	0.266899571	2.585590666	0.292652196	2.721176362	1.511308665
16/02/2014 7:56	16/02/2014 8:01	0.233084004	2.780238987	0.356888045	2.291305031	1.829972117
16/02/2014 8:01	16/02/2014 8:06	0.269121708	2.299666233	0.205892908	2.935064454	1.49147722
16/02/2014 8:06	16/02/2014 8:10	0.395883283	2.564808304	0.266636054	2.456864782	1.86262134
16/02/2014 8:10	16/02/2014 8:15	0.286377887	2.226388521	0.363316349	2.547931324	1.847216458
16/02/2014 8:15	16/02/2014 8:19	0.27784384	2.474764136	0.169065198	2.964461485	1.289044585
16/02/2014 8:19	16/02/2014 8:24	0.331227764	2.397183663	0.13032997	2.795474242	1.85850709
16/02/2014 8:24	16/02/2014 8:29	0.308023383	2.220133077	0.096646521	3.158299185	1.654856822
16/02/2014 8:29	16/02/2014 8:34	0.379082981	2.176691276	0.094949578	2.829243403	2.164622114
16/02/2014 8:34	16/02/2014 8:38	0.261461834	2.543360261	0.144708897	2.651903777	1.859418506
16/02/2014 8:38	16/02/2014 8:43	0.368971455	2.430634885	0.160243323	3.02413916	1.871334415
16/02/2014 8:43	16/02/2014 8:48	0.246729875	2.464354477	0.273628598	3.019597594	1.612368583
16/02/2014 8:48	16/02/2014 8:52	0.288424168	2.510331126	0.255406598	2.741722672	2.008226869
16/02/2014 8:52	16/02/2014 8:57	0.300563407	2.419987465	0.237168341	3.25714536	1.848729302
16/02/2014 8:57	16/02/2014 9:02	0.325624687	2.273056384	0.130714923	3.582606731	1.676703926
16/02/2014 9:02	16/02/2014 9:06	0.283402408	2.38429003	0.210802945	3.078949832	2.299068125
