PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq
18/11/2011 4:05	18/11/2011 4:10	3.582081056	6.776578265	1.17037E-06	3.33536E-07
18/11/2011 4:10	18/11/2011 4:15	3.502725677	6.675961694	0.211067421	4.06231E-07
18/11/2011 4:15	18/11/2011 4:19	3.480075353	6.495400297	0.109620031	4.96086E-07
18/11/2011 4:19	18/11/2011 4:24	3.18460914	6.605923421	0.153142468	6.50987E-07
18/11/2011 4:24	18/11/2011 4:29	3.083339319	6.449617988	0.110308071	8.74837E-07
18/11/2011 4:29	18/11/2011 4:33	3.527976292	6.529081021	0.136709826	2.70453E-07
18/11/2011 4:33	18/11/2011 4:38	3.820504834	6.470175976	0.065867507	7.4456E-07
18/11/2011 4:38	18/11/2011 4:43	3.845758341	6.645199826	0.056387949	3.62939E-07
18/11/2011 4:43	18/11/2011 4:47	4.32475624	6.622988718	0.025808988	7.27782E-07
18/11/2011 4:47	18/11/2011 4:52	3.906385469	6.345623799	0.141790182	8.87852E-07
18/11/2011 4:52	18/11/2011 4:57	3.868522791	6.297211811	0.186234891	3.80696E-07
18/11/2011 4:57	18/11/2011 5:01	3.721599937	5.668162734	0.47063137	6.98839E-07
18/11/2011 5:01	18/11/2011 5:06	3.707865599	5.842815469	0.400008432	4.86312E-07
18/11/2011 5:06	18/11/2011 5:11	3.677119296	5.813154153	0.337885389	8.29112E-07
18/11/2011 5:11	18/11/2011 5:15	3.581245176	5.753093872	0.293538714	3.62376E-07
18/11/2011 5:15	18/11/2011 5:20	3.691768514	5.673516999	0.295891486	2.76393E-07
18/11/2011 5:20	18/11/2011 5:25	3.56818925	5.871309314	0.351034255	6.08907E-07
18/11/2011 5:25	18/11/2011 5:29	3.477830967	5.614712191	0.423515651	5.08192E-07
18/11/2011 5:29	18/11/2011 5:34	3.636910979	5.330208484	0.533405274	7.42972E-07
18/11/2011 5:34	18/11/2011 5:39	3.689179442	5.593603233	0.296223131	2.80449E-07
18/11/2011 5:39	18/11/2011 5:43	3.498657774	5.38679004	0.428954517	5.00289E-07
18/11/2011 5:43	18/11/2011 5:48	3.516950984	5.609863574	0.363136379	4.70253E-07
18/11/2011 5:48	18/11/2011 5:53	3.602116007	5.362846722	0.366188096	6.678E-07
18/11/2011 5:53	18/11/2011 5:57	3.54726524	5.301644196	0.45347161	5.7908E-07
18/11/2011 5:57	18/11/2011 6:02	3.813485732	4.968145921	0.48098441	7.22434E-07
18/11/2011 6:02	18/11/2011 6:07	3.749691012	4.960557884	0.634270645	6.92182E-07
18/11/2011 6:07	18/11/2011 6:11	4.964771397	4.842520665	0.558295815	7.54337E-07
18/11/2011 6:11	18/11/2011 6:16	5.301227004	5.031427217	0.375141786	4.35375E-06
18/11/2011 6:16	18/11/2011 6:21	5.006249656	5.366801657	0.311876486	7.44022E-07
18/11/2011 6:21	18/11/2011 6:25	4.861030718	4.98583382	0.456005316	1.83381E-06
18/11/2011 6:25	18/11/2011 6:30	4.874947387	4.976355898	0.492643795	8.50956E-07
18/11/2011 6:30	18/11/2011 6:35	5.109467631	4.65182541	0.488835419	2.56E-06
18/11/2011 6:35	18/11/2011 6:39	5.830102625	5.181231906	0.274835173	0.008761436
18/11/2011 6:39	18/11/2011 6:44	5.111793395	4.916466195	0.638443695	2.36737E-06
18/11/2011 6:44	18/11/2011 6:49	4.327990287	4.818929716	0.676990398	6.94667E-07
18/11/2011 6:49	18/11/2011 6:53	4.412964858	4.625087963	0.608335375	8.53347E-07
18/11/2011 6:53	18/11/2011 6:58	4.180285533	4.647452205	0.566373978	7.00651E-07
18/11/2011 6:58	18/11/2011 7:03	3.728507838	4.188874071	1.049423229	3.05021E-07
18/11/2011 7:03	18/11/2011 7:07	3.903662414	3.819509862	1.099046381	7.10496E-07
18/11/2011 7:07	18/11/2011 7:12	3.727019431	4.370288618	0.806409611	4.7303E-07
18/11/2011 7:12	18/11/2011 7:17	4.317337969	4.231644544	0.893011506	3.14856E-07
18/11/2011 7:17	18/11/2011 7:21	4.964613459	3.8611834	1.034324085	3.72558E-06
18/11/2011 7:21	18/11/2011 7:26	4.941450769	3.747432493	1.006908887	0.008088871
18/11/2011 7:26	18/11/2011 7:31	5.454667742	3.797545027	0.979720563	0.145045515
18/11/2011 7:31	18/11/2011 7:35	5.251065115	4.100961697	0.844751819	5.03497E-07
18/11/2011 7:35	18/11/2011 7:40	4.978416797	3.953280213	0.958183882	8.34974E-07
18/11/2011 7:40	18/11/2011 7:45	4.446850072	4.111098074	1.248025685	6.09751E-07
18/11/2011 7:45	18/11/2011 7:49	4.544554943	4.072172993	1.330309258	1.28561E-06
18/11/2011 7:49	18/11/2011 7:54	4.759509066	3.975151862	1.201874839	7.65943E-07
18/11/2011 7:54	18/11/2011 7:59	5.092992519	4.170370367	1.020484202	3.87892E-07
18/11/2011 7:59	18/11/2011 8:03	4.682958427	4.178388678	1.059941974	1.70056E-07
18/11/2011 8:03	18/11/2011 8:08	3.663207355	3.58100826	1.433246327	0.05359946
18/11/2011 8:08	18/11/2011 8:13	3.387551222	3.722452313	1.290617863	0.077980825
18/11/2011 8:13	18/11/2011 8:17	3.205711965	3.677780233	1.432533481	1.36646E-06
